PropertyID,ParID,UseDescription,Rental?,RentalPermit?,OwnerID,AgentID,Zoning,OpenIssueType,OpenIssueNote,Image,PropertyType,ResidenceType,VacantLand?,OccupancyPermit?,OccupancyPermitDate,RentalPermitDate,PropertyStatus,StatusDate,Note,SewerDistrict,UCCPermit?,UCCPermitDate,ZoningApproval?,ZoningApprovalDate,PassDyeTest?,PassDyeTestDate,CountyHyperlink,municode_1
12020,0371R00196000000,Single family                 ,1,0,4137,917,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00196000000,816
12021,0371R00096000000,Single family                 ,0,0,2341,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00096000000,816
12022,0372K00118000000,Single family                 ,0,0,1859,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372K00118000000,953
12023,0372R00158000000,Single family                 ,1,0,3882,870,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372R00158000000,953
12024,0371R00325000000,Single family                 ,0,0,1969,,,,,,Residential                   ,,0,0,,,,,Susan Jones 412-816-2150,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00325000000,816
12025,0371L00054000000,Single family                 ,0,0,2262,577,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371L00054000000,816
12026,0298F00258000000,Single family                 ,0,0,918,409,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0298F00258000000,816
12027,0372B00130000000,Single family                 ,0,0,2031,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00130000000,816
12028,0541P00100000000,Single family                 ,0,0,2643,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00100000000,953
12029,0372E00116000000,Single family                 ,0,0,1710,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00116000000,816
12030,0373G00084000000,Single family                 ,0,0,1663,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373G00084000000,953
12031,0372C00192000000,Single family                 ,0,0,1327,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00192000000,816
12032,0372C00103000000,Vacant land                   ,0,0,150,691,,,,,Residential                   ,,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00103000000,816
12033,0372E00222000000,Single family                 ,0,0,4227,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00222000000,816
12034,0452N00040000000,Single family                 ,0,0,597,100,,,,,Residential                   ,,0,0,,,,,412-825-0544 home phone number 412-608-4575,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0452N00040000000,816
12035,0371M00272000000,Single family                 ,0,0,2673,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371M00272000000,816
12036,0541P00038000000,Single family                 ,0,0,944,309,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00038000000,953
12037,0371P00146000000,Single family                 ,1,0,1322,423,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371P00146000000,816
12038,0373H00050000000,Two family                    ,1,0,1024,354,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373H00050000000,953
12039,0454H00058000000,Two family                    ,1,0,1470,155,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454H00058000000,953
12040,0373H00130000000,Single family                 ,0,0,807,900,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373H00130000000,953
12041,0372B00122000000,Single family                 ,0,0,2905,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00122000000,816
12042,0371K00088000000,Single family                 ,0,0,1422,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371K00088000000,816
12043,0371F00082000000,Single family                 ,0,0,3171,715,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371F00082000000,816
12044,0372C00195000000,Single family                 ,0,0,2489,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00195000000,816
12045,0453M00006000000,Livestock o/t d & p-cauv      ,0,0,4417,11,,,,,Agricultural                  ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453M00006000000,953
12046,0373H00125000000,Single family                 ,0,0,3206,854,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373H00125000000,953
12047,0371R00024000000,Single family                 ,0,0,2083,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00024000000,816
12048,0371F00141000000,Single family                 ,0,0,2377,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371F00141000000,816
12049,0372B00112000000,Single family                 ,0,0,4402,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00112000000,816
12050,0452N00021000000,Single family                 ,0,0,2400,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0452N00021000000,816
12051,0541P00230000000,Single family                 ,0,0,3514,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00230000000,953
12052,0373D00078000000,Single family                 ,0,0,1417,673,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373D00078000000,953
12053,0455A00082000000,Single family                 ,0,0,1668,471,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0455A00082000000,953
12054,0371H00040000000,Single family                 ,0,0,2033,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371H00040000000,816
12055,0541R00028000000,Single family                 ,0,0,4101,364,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541R00028000000,953
12056,0373B00280000000,Township government           ,0,0,4058,19,,,,,Government                    ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373B00280000000,953
12057,0454G00250000000,Single family                 ,1,0,1575,450,,,,,Residential                   ,Rental,0,0,,,,,412-824-1785,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00250000000,953
12058,0454G00054000000,Single family                 ,0,0,1796,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00054000000,953
12059,0455B00054000000,Vacant land                   ,1,0,4248,,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0455B00054000000,953
12060,0372B00110000000,Single family                 ,0,0,3123,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00110000000,816
12061,0453K00056000000,Single family                 ,0,0,2372,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453K00056000000,816
12062,0371L00084000000,Single family                 ,0,0,3871,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371L00084000000,816
12063,0453L00090000000,Single family                 ,0,0,3677,301,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453L00090000000,953
12064,0454G00048000000,Res aux building (no house)   ,0,0,1796,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00048000000,953
12065,0372M00284000000,Two family                    ,1,0,2014,545,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372M00284000000,953
12066,0371P00024000000,Single family                 ,0,0,3645,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371P00024000000,816
12067,0453K00055000000,Single family                 ,0,0,2012,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453K00055000000,816
12068,0373C00146000000,Single family                 ,0,0,747,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373C00146000000,953
12069,0371P00014000000,Single family                 ,0,0,1460,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371P00014000000,816
12070,0372B00132000000,Single family                 ,0,0,2504,293,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00132000000,816
12071,0454A00050000000,Single family                 ,0,0,2568,218,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454A00050000000,953
12072,0372E00252000000,Single family                 ,0,0,3572,804,,,,,Residential                   ,,0,0,,,,,Notice came back as undeliverable from the post office 10/8,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00252000000,816
12073,0372B00058000000,Single family                 ,0,0,1389,691,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00058000000,816
12074,0372C00032000000,Single family                 ,0,0,135,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00032000000,816
12075,0372P00284000000,Single family                 ,1,0,2138,558,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372P00284000000,953
12076,0372P00284000000,Single family                 ,1,0,2138,558,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372P00284000000,953
12077,0453R00100000000,Single family                 ,0,0,4230,932,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453R00100000000,953
12078,0453J00112000000,Single family                 ,0,0,3224,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453J00112000000,953
12079,0454G00124000000,Vacant land                   ,1,0,4510,,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00124000000,953
12080,0373G00078000000,Single family                 ,0,0,2612,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373G00078000000,953
12081,0371R00298000000,Single family                 ,0,0,3438,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00298000000,816
12082,0373H00185000000,Single family                 ,0,0,1483,309,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373H00185000000,953
12083,0373D00080000000,Single family                 ,0,0,4404,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373D00080000000,953
12084,0372C00048000000,Single family                 ,0,0,1841,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00048000000,816
12085,0371P00026000000,Single family                 ,0,0,1350,362,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371P00026000000,816
12086,0372E00114000000,Single family                 ,0,0,2104,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00114000000,816
