"ViolationID","municode_1","Violation","ViolationLetter","Active"
76,816,"§309.2 Owner","The owner of any structure shall be responsible for pest elimination within the structure prior to renting or leasing the structure.",1
77,816,"§309.3 Single Occupant","The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for pest elimination on the premises.",1
78,816,"§309.4 Multiple Occupancy","The owner of a structure containing two or more dwelling units, a multiple occupancy, a rooming house or a nonresidential structure shall be responsible for pest elimination in the public or shared areas of the structure and exterior property.  If infestation is caused by failure of an occupant to prevent such infestation in the area occupied, the occupant and owner shall be responsible for pest elimination.",1
79,816,"§309.5 Occupant","The occupant of any structure shall be responsible for the continued rodent and pest-free condition of the structure.  Exception: Where the infestations are caused by defects in the structure, the owner shall be responsible for pest elimination.",1
80,953,"§106.3 Prosecution of Violation","Any person failing to comply with a notice of violation or order served in accordance with Section 107 (Notices and Orders) shall be deemed guilty of a misdemeanor or civil infraction as determined by the local municipality, and the violation shall be deemed a strict liability offense.  If the notice of violation is not complied with, the code official shall institute the appropriate proceeding at law or in equity to restrain, correct or abate such violation, or to require the removal or termination of the unlawful occupancy of the structure in violation of the provisions of this code or of the order or direction made pursuant thereto.  Any action taken by the authority having jurisdiction on such premises shall be charged against the real estate upon the structure is located and shall be a lien upon such real estate.",1
81,953,"§108.1 Unsafe Structure, General","When a structure or equipment is found by the code official to be unsafe, or when a structure is found unfit for human occupancy, or is found unlawful, such structure shall be condemned pursuant to the provisions of this code.",1
82,953,"§108.1.1 Unsafe Structures","An unsafe structure is one that is found to be dangerous to the life, health, property or safety of the public or the occupants of the structure by not providing minimum safeguards to protect or warn occupants in the event of fire, or because such structure contains unsafe equipment or is so damaged, decayed, dilapidated, structurally unsafe or of such faulty construction or unstable foundation, that partial or complete collapse is possible.",1
83,953,"§108.1.3 Structure Unfit for Human Occupancy","A structure is unfit for human occupancy whenever the code official finds that such structure is unsafe or unlawful as described in Sections 108.1.1 and 108.1.4 or, because of the degree to which the structure is in disrepair or lacks maintenance, is insanitary, vermin- or rat-infested, contains filth and contamination, or lacks ventilation, illumination, sanitary or heating facilities or other essential equipment required by this code or because the location of the structure constitutes a hazard to the occupants of the structure or to the public.",1
84,953,"§301.2 Responsibility","The owner of the premises shall maintain the structures and the exterior of the property in compliance with these requirements, except as otherwise provided for in this code.  A person shall not occupy as owner-occupant or permit another person to occupy premises which are not in a sanitary and safe condition and which do not comply with the requirements of this chapter.  Occupants of a dwelling unit, rooming unit or housekeeping unit are responsible for keeping in a clean, sanitary and safe condition that part of the dwelling unit, rooming unit, housekeeping unit or premises which they occupy and control.",1
85,953,"§301.3 Vacant Structures and Land","All vacant structures and premises thereof or vacant land shall be maintained in a clean, safe, secure and sanitary condition as provided herein so as not to cause a blighting problem or adversely affect the public health or safety.",1
86,953,"§302.1 Sanitation","All exterior property and premises shall be maintained in a clean, safe and sanitary condition.  The occupant shall keep that part of the exterior property which such occupant occupies or controls in a clean and sanitary condition.",1
87,953,"§302.3 Sidewalks and Driveways","All sidewalks, walkways, stairs, driveways, parking spaces and similar areas shall be kept in a proper state of repair and maintained free from hazardous conditions. All sidewalks, walkways or similar areas that are available for use by the public, or persons other than the property owner, shall be cleared of snow and ice no later than 24 hours after any snow or ice storm.",1
88,953,"§302.4 Weeds","All premises and exterior property shall be maintained free from weeds or plant growth in excess of eight inches.  All noxious weeds shall be prohibited.  Weeds shall be defined as all grasses, annual plants and vegetation, other than trees or shrubs provided; however, this term shall not include cultivated flowers and gardens.",1
90,953,"§302.7 Accessory Structures","All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.",1
91,953,"§302.8.1 Motor Vehicles","Except as provided for in other regulations, no inoperative, unlicensed or uninspected motor vehicle shall be parked, kept or stored on any premises, and no vehicle shall at any time be in a state of major disassembly, disrepair, or in the process of being stripped or dismantled.  Painting of vehicles is prohibited unless conducted inside an approved spray booth.  Exception: A vehicle of any type is permitted to undergo major overhaul, including body work, provided that such work is performed inside a structure or similarly enclosed area designed and approved for such purposes, but not including a tarp.",1
92,953,"§302.8.2 Motor Vehicles","Except as provided for in other regulations, no vehicle shall be parked, kept or stored in any residential yard area not part of a garage driveway.",1
93,953,"§303.1 Swimming Pools","Swimming pools shall be maintained in a clean and sanitary condition, and in good repair.",1
94,953,"§303.2 Enclosures","Private swimming pools, hot tubs and spas, containing water more than 24 inches in depth shall be completely surrounded by a fence or barrier at least 48 inches in height above the finished ground level measured on the side of the barrier away from the pool.  Gates and doors in such barriers shall be self-closing and self-latching.  Where the self-latching device is a minimum of 54 inches above the bottom of the gate, the release mechanism shall be located on the pool side of the gate.  Self-closing and self-latching gates shall be maintained such that the gate will positively close and latch when released from an open position of six inches from the gatepost.  No existing pool enclosure shall be removed, replaced or changed in a manner that reduces its effectiveness as a safety barrier.  Exception: Spas or hot tubs with a safety cover that complies with ASTM F 1346 shall be exempt from the provisions of this section.",1
95,953,"§303.3 Temporarily Discontinued Use","Below grade swimming pools, the use of which is temporarily discontinued, shall be covered with material which will prevent access to the pool basin and be of sufficient strength to sustain the weight of 100 pounds.",1
96,953,"§303.4 Below Grade Discontinued Use","Below grade swimming pools, the use of which is permanently discontinued, shall be filled to ground level with earth and/or other material in accordance with plans and specification supplied by the property owner and approved by the Township Engineer. “Permanently discontinued” is defined as not in use for more than 18 months, beginning on June 1 of any year.",1
97,953,"§303.5 Above Grade Discontinued Use","Above grade swimming pools, the use of which is permanently discontinued, shall be dismantled and removed from the property.",1
98,953,"§304.3 Premises Identification","Buildings shall have approved address numbers placed in a position to be plainly legible and visible from the street or road fronting the property.  These numbers shall contrast with their background.  Address numbers shall be Arabic numerals or alphabet letters.  Numbers shall be a minimum of 4 inches in height with a minimum stroke width of 0.5 inch. ",1
99,953,"§304.14 Insect Screens","During the period from April 15 to October 15, every door, window and other outside opening required for ventilation of habitable rooms, food preparation areas, food service areas or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tightly fitting screens of not less than 16 mesh per inch, and every swinging door shall have a self-closing device in good working condition.",1
100,953,"§308.1 Accumulation of Rubbish or Garbage","All exterior property and premises, and the interior of every structure, shall be free from any accumulation of rubbish or garbage.",1
101,953,"§308.2 Disposal of Rubbish","Every occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.",1
102,953,"§308.2.1 Rubbish Storage Facilities","The owner of every occupied premises shall supply approved covered containers for rubbish, and the owner of the premises shall be responsible for the removal of rubbish.",1
103,953,"§308.3 Disposal of Garbage","Every occupant of a structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or approved garbage containers",1
104,953,"§308.3.1 Garbage Facilities","The owner of every dwelling shall supply one of the following; an approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leakproof, covered, outside garbage container.",1
105,953,"§308.3.2 Containers","The operator of every establishment producing garbage shall provide, and at all times cause to be utilized, approved leakproof containers provided with close-fitting covers for the storage of such materials until removed from the premises for disposal.",1
106,953,"§309.1 Infestation","All structures shall be kept free from insect and rodent infestation.  All structures in which insects or rodents are found shall be promptly exterminated by approved processes that will not be injurious to human health.  After pest elimination, proper precautions shall be taken to prevent reinfestation.",1
107,953,"§309.2 Owner","The owner of any structure shall be responsible for pest elimination within the structure prior to renting or leasing the structure.",1
108,953,"§309.3 Single Occupant","The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for pest elimination on the premises.",1
109,953,"§309.4 Multiple Occupancy","The owner of a structure containing two or more dwelling units, a multiple occupancy, a rooming house or a nonresidential structure shall be responsible for pest elimination in the public or shared areas of the structure and exterior property.  If infestation is caused by failure of an occupant to prevent such infestation in the area occupied, the occupant and owner shall be responsible for pest elimination.",1
110,953,"§309.5 Occupant","The occupant of any structure shall be responsible for the continued rodent and pest-free condition of the structure.  Exception: Where the infestations are caused by defects in the structure, the owner shall be responsible for pest elimination.",1
113,953,"Observation","Oberservation of property. Notice of Violation not warranted at this time.",1
130,816,"Observation","Oberservation of property. Notice of Violation not warranted at this time.",1
131,953,"§308.2.2 Refrigerators","Refrigerators and similar equipment not in operation shall not be discarded, abandoned or stored on premises without first removing the doors.",1
132,816,"§308.2.2 Refrigerators","Refrigerators and similar equipment not in operation shall not be discarded, abandoned or stored on premises without first removing the doors.",1
133,953,"302.7 Accessory structures","All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.",0
134,953,"§304.7 Roofs and Drainage","The roof and flashing shall be sound, tight and not have defects that admit rain.  Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the structure.  Roof drains, gutters and downspouts shall be maintained in good repair and free from obstructions.  Roof water shall not be discharged in a manner that creates a public nuisance.",1
135,953,"§302.2 Grading and Drainage","All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any structure located thereon.",1
136,953,"Notice Of Violation: Wilkins Township Ordinance #1013 Property Maintenance Code",,1
137,953,"§135-5 G Standards and Regulations for Collection","Placement of container(s) at curbside may be no earlier than 5:00 p.m. on the day prior to the designated collection day and must be removed from curbside to the storage place no later than 6:00 p.m. on the day of collection.",1
138,816,"Notice of Violation: Churchill Borough Ordinance #722 Property Maintenance Code",,1
139,816,"§252-15 Collection Procedures for Rubbish","	Containers designated for collection must be ready by 7:00 am on the day of collection.  However, no containers shall be placed at the curbside earlier than 6:00 pm, prevailing time, on the day prior to collection.  Exceptions may be granted on an individual basis by the Borough Manager for occasional, special circumstances (e.g. illness).  The owner should remove containers placed at curbside on the same day after being emptied by the contractor.",1
140,816,"§304.2 Protective Treatment","All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim, balconies, decks and fences, shall be maintained in good condition.  Exterior wood surfaces, other than decay-resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.  Peeling, flaking and chipped paint shall be eliminated and surfaces repainted.  All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors and skylights, shall be maintained weather resistant and water tight.  All metal surfaces subject to rust and corrosion, and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.  Oxidation stains shall be removed from exterior surfaces.  Surfaces designed for stabilization are exempt from this requirement.",1
141,953,"§304.2 Protective Treatment","All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim, balconies, decks and fences, shall be maintained in good condition.  Exterior wood surfaces, other than decay-resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.  Peeling, flaking and chipped paint shall be eliminated and surfaces repainted.  All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors and skylights, shall be maintained weather resistant and water tight.  All metal surfaces subject to rust and corrosion, and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.  Oxidation stains shall be removed from exterior surfaces.  Surfaces designed for stabilization are exempt from this requirement.",1
142,816,"§302.5 Rodent Harborage","All structures and exterior property shall be kept free from rodent harborage and infestation.  Where rodents are found, they shall be promply exterminated by approved processes which will not be injurious to human health.  After pest elimination, proper precautions shall be taken to eliminate rodent harborage and prevent reinfestation.",1
143,953,"§302.5 Rodent Harborage","All structures and exterior property shall be kept free from rodent harborage and infestation.  Where rodents are found, they shall be promply exterminated by approved processes which will not be injurious to human health.  After pest elimination, proper precautions shall be taken to eliminate rodent harborage and prevent reinfestation.",1
144,816,"§304.15 Doors","All exterior doors, door assemblies, operator systems if provided, and hardware shall be maintained in good condition.  Locks at all entrances to dwelling units and sleeping units shall tightly secure the door.",1
145,816,"§252-23 Registration and Permit Required","For any use of a bulk container in excess of thirty days, a permit must be obtained from the Borough by filing an application which shall identify the purpose, placement and proposed location of the bulk container.",1
146,816,"§236-1 Prohibited Acts","No person, partnership or corporation shall establish or maintain or permit to exist in the
Borough of Churchill any storage yard or other place used for the storage of goods, materials,
machinery, equipment, things or vehicles (whether operable or inoperable) in the residential
districts of the borough.",1
147,953,"Pool Inspection Wilkins Township Ordinance #538 Chapter 152","Swimming Pool Inspection based on requirements of Chapter 152 of Wilkins Township Codified Ordinances.",1
148,816,"Chapter 252 Article IV Bulk Containers",,1
149,816,"Chapter 252 Article III Collection and Disposal",,1
150,816,"Chapter 236 Article I Residential Storage",,1
151,816,"Chapter 236 Article II Property Maintenance Code",,1
152,953,"Chapter 124 Article I Property Maintenance Code Provisions",,1
153,953,"Chapter 135 Article I Solid Waste Collection and Storage",,1
154,816,"§236-4 Side and Rear Yards","No portion of a residential side or rear yard which faces upon a public street of the Borough of Churchill or upon another residential property shall be used for the storage of goods, materials, machinery, equipment, things or vehicles (except when such area is part of a defined driveway connected directly to a garage or residence).",1
155,816,"§252-17 Collection Procedures for Leaves","Collection of leaves may be made on such days of the week and at such times as shall be determined by the Borough Council or the Borough Manager. Leaves for collection shall be placed in paper biodegradable bags. Leaves shall not be placed in plastic bags. The collector shall employ suitable equipment that will properly confine the leaves so that they will be transported over streets of the Borough without spillage or littering of the streets.",1
156,953,"§704.1 Fire Protection Systems, General","All systems, devices and equipment to detect a fire, actuate an alarm, or suppress or control a fire or any combination thereof shall be maintained in an operable condition at all times in accordance with the International Fire Code.",1
157,816,"§252-14 Collection Procedures for Garbage","A maximum of two standard residential garbage cans with lids may be, stored at any side or rear yard location properly screened or shielded from adjoining residential properties prior to collection. All garbage and trash containers shall be properly stored until the designated pickup days when the containers must be brought to the curb as described in § 252-15.",1
158,816,"§236-3 Front Yards","No portion of the front yard ordained in Chapter 304, Zoning, shall be used for the storage or installation of goods, materials, machinery, equipment, things or vehicles (except when vehicles are parked in a defined driveway connected directly to a garage or residence). In addition, no freestanding aboveground containers or cans for trash and/or garbage may be stored in the front yard between periodic pickup dates.",1
159,953,"Chapter 173 Article V Signs",,1
160,953,"§173-34A Prohibited Signs","Streamers, posters, ribbons, light strings, light bands, spinners, attention-getting devices that move, except for temporary signs that are subject to the regulations set forth in § 173-30D.",1
161,816,"Chapter 304 Article IV General Regulations",,1
162,816,"§304-21A Signs","Permit. No sign, except a temporary real estate sign in accordance with §304-21F shall hereafter be erected or altered in any way unless a sign permit has been issued by the Zoning Officer. No sign permit for any sign larger than eight square feet shall be issued without the approval of the Planning Commission. Applications for sign permits shall include detailed drawings of the construction and design of the sign and shall be accompanied by such fee as may be required by resolution of Council.",1
163,816,"§252-24 Condition of Bulk Containers","Any person utilizing a bulk container shall be responsible to insure that the area in and around the bulk container remains free of all liter and debris.",1
164,953,"Fire Inspection",,1
165,953,"Follow Up Fire Inspection",,1
166,953,"Occupancy Inspection",,1
167,953,"Follow Up Occupancy Inspection",,1
168,816,"§304.10 Stairways, Decks, Porches and Balconies","Every exterior stairway, deck, porch and balcony, and all appurtenances attached thereto, shall be maintained structurally sound, in good repair, with proper anchorage and capable of supporting the imposed loads.",1
169,816,"§304-21F Temporary Real Estate Sign","Temporary real estate sign. One temporary real estate sign is permitted on any property being sold, leased or developed if it is not illuminated, not fewer than 15 feet from the curb and is no larger in surface area than six square feet. Such sign shall be promptly removed when the sale, lease or development of the property has been completed.",1
170,816,"§304.1 Exterior Structure, General","The Exterior of a structure shall be maintained in good repair, structurally sound and sanitary so as not to pose a threat to the public health, safety or welfare.",1
171,816,"§304.13 Window, Skylight and Door Frames","Every window, skylight, door and frame shall be kept in sound condition, good repair and weather tight.",1
172,816,"§304.13.1 Glazing","All glazing materials shall be maintained free from cracks and holes.",1
173,953,"Chapter 144 Article IV Maintenance of Municipal Rights-of-Way",,1
174,953,"§144-22 Removal of Objects In Right-of-Way","When removal of any object or vegetation is found necessary by the township in the maintenance, repair, construction or reconstruction of any township right-of-way or other improvement or for reasons of public health and safety, the owner of property abutting any township right-of-way shall remove from the right-of-way any object or vegetation therefrom within 10 days' written notice so to do.",1
175,953,"§304.10 Stairways, Decks, Porches and Balconies","Every exterior stairway, deck, porch and balcony, and all appurtenances attached thereto, shall be maintained structurally sound, in good repair, with proper anchorage and capable of supporting the imposed loads.",1
176,953,"§304.1 General","The exterior of a structure shall be maintained in good repair, structurally sound and sanitary so as not to pose a threat to the public health, safety or welfare.",1
177,953,"§173-34J (2) Prohibited Signs","Any obsolete sign panel or sign copy which identifies, describes, directs attention to or gives directions for locating any business or establishment no longer in operation, or advertises any product or service no longer being marketed, shall be removed within 90 days after becoming obsolete. Covering obsolete sign panels or sign copy with any material is specifically prohibited.",1
178,816,"§302.2 Grading and Drainage","All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any structure located thereon.",1
179,847,"§5-201. Adoption of the Property Maintenance Code.","A certain document, three copies of which are on file in the office of the Borough Secretary of the Borough of Pitcairn, being marked and designated as the International Property Maintenance Code, 2006 edition, as published by the International Code Council, be and is hereby adopted as the Property Maintenance Code of the Borough of Pitcairn, in the State of Pennsylvania, for regulating and governing the conditions and maintenance of all property, buildings and structures; by providing the standards for supplied utilities and facilities and other physical things and conditions essential to ensure that structures are safe, sanitary and fit for occupation and use; and the condemnation of buildings and structures unfit for human occupancy and use, and the demolition of such existing structures as herein provided; providing for the issuance of permits and collection of fees therefor; and each and all of the regulations, provisions, penalties, conditions and terms of said Property Maintenance Code on file in the office of the Borough of Pitcairn are hereby referred to, adopted, and made a part hereof, as if fully set out in this Part, with the additions, insertions, deletions and changes, if any, prescribed in §5-202 of this Part.",1
180,847,"108.1 General","When a structure or equipment is found by the code official to be unsafe, or when a structure is found unfit for human occupancy, or is found unlawful, such structure shall be condemned pursuant to the provisions of this code.",1
181,847,"108.2 Closing of vacant structures","If the structure is vacant and unfit for human habitation and occupancy, and is not in danger of structural collapse, the code official is authorized to post a placard of condemnation on the premises and order the structure closed up so as not to be an attractive nuisance. Upon failure of the owner to close up the premises within the time specified in the order, the code official shall cause the premises to be closed and secured through any available public agency or by contract or arrangement by private persons and the cost thereof shall be charged against the real estate upon which the structure is located and shall be a lien upon such real estate and may be collected by any other legal resource.",1
182,847,"301.2 Responsibility","The owner of the premises shall maintain the structures and the exterior of the property in compliance with these requirements, except as otherwise provided for.",1
183,847,"301.3 Vacant Structures and Land","All vacant structures and premises thereof or vacant land shall be maintained in a clean, safe, secure and sanitary condition as provided herein so as not to cause a blighting problem or adversely affect the public health or safety.",1
184,847,"302.1 Sanitation","All exterior property and premises shall be maintained in a clean, safe and sanitary condition. The occupant shall keep that part of the exterior property which such occupant occupies or controls in a clean and sanitary condition.",1
185,847,"302.2 Grading and drainage","All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any structure located thereon. Exception: Approved retention areas and reservoirs.",1
186,847,"302.3 Sidewalks and driveways","All sidewalks, walkways, stairs, driveways, parking spaces and similar areas shall be kept in a proper state of repair, and maintained free from hazardous conditions.",1
187,847,"302.4 Weeds","All premises and exterior property shall be maintained free from weeds or plant growth in excess of six inches. All noxious weeds shall be prohibited. Weeds shall be defined as all grasses, annual plants and vegetation, other than trees or shrubs provided; however, this term shall not include cultivated flowers and gardens.  Upon failure of the owner or agent having charge of a property to cut and destroy weeds after service of a notice of violation, they shall be subject to prosecution in accordance with Section 106.3 and as prescribed by the authority having jurisdiction. Upon failure to comply with the notice of violation, any duly authorized employee of the jurisdiction or contractor hired by the jurisdiction shall be authorized to enter upon the property in violation and cut and destroy the weeds growing thereon, and the costs of such removal shall be paid by the owner or agent responsible for the property.",1
188,847,"302.5 Rodent harborage","All structures and exterior property shall be kept free from rodent harborage and infestation. Where rodents are found, they shall be promptly exterminated by approved processes which will not be injurious to human health. After extermination, proper precautions shall be taken to eliminate rodent harborage and prevent reinfestation.",1
189,847,"302.6 Exhaust vents","Pipes, ducts, conductors, fans or blowers shall not discharge gases, steam, vapor, hot air, grease, smoke, odors or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",1
190,847,"302.7 Accessory structures","All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.",1
191,847,"302.8 Motor vehicles","Except as provided for in other regulations, no inoperative or unlicensed motor vehicle shall be parked, kept or stored on any premises, and no vehicle shall at any time be in a state of major disassembly, disrepair, or in the process of being stripped or dismantled. Painting of vehicles is prohibited unless conducted inside an approved spray booth. Exception: A vehicle of any type is permitted to undergo major overhaul, including body work, provided that such work is performed inside a structure or similarly enclosed area designed and approved for such purposes.",1
192,847,"302.9 Defacement of property","No person shall willfully or wantonly damage, mutilate or deface any exterior surface of any structure or building on any private or public property by placing thereon any marking, carving or graffiti.  It shall be the responsibility of the owner to restore said surface to an approved state of maintenance and repair.",1
193,847,"303.1 Swimming pools","Swimming pools shall be maintained in a clean and sanitary condition, and in good repair",1
194,847,"303.2 Enclosures","Private swimming pools, hot tubs and spas, containing water more than 24 inches (610 mm) in depth shall be completely surrounded by a fence or barrier at least 48 inches (1219 mm) in height above the finished ground level measured on the side of the barrier away from the pool. Gates and doors in such barriers shall be self-closing and self-latching. Where the self-latching device is less than 54 inches (1372 mm) above the bottom of the gate, the release mechanism shall be located on the pool side of the gate. Self-closing and self-latching gates shall be maintained such that the gate will positively close and latch when released from an open position of 6 inches (152 mm) from the gatepost. No existing pool enclosure shall be removed, replaced or changed in a manner that reduces its effectiveness as a safety barrier. Exception: Spas or hot tubs with a safety cover that complies with ASTM F 1346 shall be exempt from the provisions of this section.",1
195,847,"304.2 Protective treatment","All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim, balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay-resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment. Peeling, flaking and chipped paint shall be eliminated and surfaces repainted. All siding and masonry joints as well as those between the building envelope and the perimeter of windows, doors, and skylights shall be maintained weather resistant and water tight. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion. Oxidation stains shall be removed from exterior surfaces. Surfaces designed for stabilization by oxidation are exempt from this requirement.",1
196,847,"304.3 Premises Identification","Buildings shall have approved address numbers placed in a position to be plainly legible and visible from the street or road fronting the property.  These numbers shall contrast with their background.  Address numbers shall be Arabic numerals or alphabet letters.  Numbers shall be a minimum of 4 inches in height with a minimum stroke width of 0.5 inch.",1
197,847,"307.1 Handrails/Guardrails","Every exterior and interior flight of stairs having more than four risers shall have a handrail on one side of the stair and every open portion of a stair, landing, balcony, porch, deck, ramp or other walking surface which is more than 30 inches (762 mm) above the floor or grade below shall have guards. Handrails shall not be less than 30 inches (762 mm) high or more than 42 inches (1067 mm) high measured vertically above the nosing of the tread or above the finished floor of the landing or walking surfaces. Guards shall not be less than 30 inches (762 mm) high above the floor of the landing, balcony, porch, deck, or ramp or other walking surface. Exception: Guards shall not be required where exempted by the adopted building code.",1
198,847,"308.1 Accumulation of rubbish or garbage","All exterior property and premises, and the interior of every structure, shall be free from any accumulation of rubbish or garbage.",1
199,847,"308.2 Disposal of rubbish","Every occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.",1
200,847,"308.2.1 Rubbish storage facilities","The owner of every occupied premises shall supply approved covered containers for rubbish, and the owner of the premises shall be responsible for the removal of rubbish.",1
